filename,source_url,author,license,attribution_required,notes
sfx_ui_tap.ogg,https://kenney.nl/assets/interface-sounds,Kenney,CC0 1.0,no,Renamed from click_003.ogg
sfx_ui_back.ogg,https://kenney.nl/assets/interface-sounds,Kenney,CC0 1.0,no,Renamed from back_001.ogg
sfx_ui_error.ogg,https://kenney.nl/assets/interface-sounds,Kenney,CC0 1.0,no,Renamed from error_006.ogg
sfx_ui_confirm.ogg,https://kenney.nl/assets/interface-sounds,Kenney,CC0 1.0,no,Renamed from confirmation_002.ogg
sfx_ui_purchase.ogg,https://kenney.nl/assets/interface-sounds,Kenney,CC0 1.0,no,Renamed from maximize_006.ogg
sfx_ui_equip.ogg,https://kenney.nl/assets/interface-sounds,Kenney,CC0 1.0,no,Renamed from switch_006.ogg
sfx_ui_reforge.ogg,https://kenney.nl/assets/interface-sounds,Kenney,CC0 1.0,no,Renamed from glass_003.ogg
sfx_weapon_smg_fire_01.ogg,https://kenney.nl/assets/sci-fi-sounds,Kenney,CC0 1.0,no,Renamed from laserSmall_000.ogg
sfx_weapon_rail_fire.ogg,https://kenney.nl/assets/sci-fi-sounds,Kenney,CC0 1.0,no,Renamed from laserLarge_004.ogg
sfx_weapon_plasma_fire.ogg,https://opengameart.org/content/50-cc0-sci-fi-sfx,rubberduck,CC0 1.0,no,Renamed from shoot_02.ogg
sfx_weapon_tesla_fire.ogg,https://kenney.nl/assets/sci-fi-sounds,Kenney,CC0 1.0,no,Renamed from forceField_003.ogg
sfx_weapon_seeker_launch.ogg,https://opengameart.org/content/50-cc0-sci-fi-sfx,rubberduck,CC0 1.0,no,Renamed from rocket_01.ogg
sfx_weapon_void_fire.ogg,https://opengameart.org/content/50-cc0-sci-fi-sfx,rubberduck,CC0 1.0,no,Renamed from weird_04.ogg
sfx_weapon_mine_explode.ogg,https://kenney.nl/assets/sci-fi-sounds,Kenney,CC0 1.0,no,Renamed from explosionCrunch_002.ogg
sfx_impact_flesh_01.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0 1.0,no,Renamed from impactSoft_medium_002.ogg
sfx_impact_armor_01.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0 1.0,no,Renamed from impactMetal_medium_001.ogg
sfx_impact_critical.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0 1.0,no,Renamed from impactBell_heavy_003.ogg
sfx_player_hurt_01.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0 1.0,no,Renamed from impactPunch_heavy_001.ogg
sfx_rock_damage_light_01.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0 1.0,no,Renamed from impactMining_000.ogg
sfx_rock_break_01.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0 1.0,no,Renamed from impactMining_004.ogg
sfx_player_dash.ogg,https://opengameart.org/content/50-cc0-sci-fi-sfx,rubberduck,CC0 1.0,no,Renamed from teleport_01.ogg
sfx_player_shield_hit.ogg,https://kenney.nl/assets/sci-fi-sounds,Kenney,CC0 1.0,no,Renamed from forceField_000.ogg
sfx_ship_inbound.ogg,https://kenney.nl/assets/sci-fi-sounds,Kenney,CC0 1.0,no,Renamed from spaceEngineLarge_001.ogg
sfx_supply_impact.ogg,https://kenney.nl/assets/impact-sounds,Kenney,CC0 1.0,no,Renamed from impactMetal_heavy_004.ogg
sfx_machine_capture_complete.ogg,https://opengameart.org/content/50-cc0-sci-fi-sfx,rubberduck,CC0 1.0,no,Renamed from terminal_09.ogg
sfx_boss_generic_roar.ogg,https://kenney.nl/assets/sci-fi-sounds,Kenney,CC0 1.0,no,Renamed from lowFrequency_explosion_001.ogg
sfx_explosion_generic.ogg,https://kenney.nl/assets/sci-fi-sounds,Kenney,CC0 1.0,no,Renamed from explosionCrunch_004.ogg
sfx_pickup_gold.ogg,https://kenney.nl/assets/interface-sounds,Kenney,CC0 1.0,no,Renamed from pluck_001.ogg
sfx_pickup_gem.ogg,https://kenney.nl/assets/interface-sounds,Kenney,CC0 1.0,no,Renamed from glass_006.ogg
sfx_pickup_xp.ogg,https://kenney.nl/assets/interface-sounds,Kenney,CC0 1.0,no,Renamed from tick_002.ogg
sfx_boss_crystalking_attack_01.ogg,https://opengameart.org/content/80-cc0-creature-sfx | https://opengameart.org/content/monster-sound-effects-2,rubberduck + Ogrebane,CC0 1.0,no,Derived/layered and normalized for Deep Rift
sfx_boss_crystalking_attack_02.ogg,https://opengameart.org/content/80-cc0-creature-sfx | https://opengameart.org/content/monster-sound-effects-2,rubberduck + Ogrebane,CC0 1.0,no,Derived/layered and normalized for Deep Rift
sfx_boss_crystalking_death.ogg,https://opengameart.org/content/80-cc0-creature-sfx | https://opengameart.org/content/monster-sound-effects-2,rubberduck + Ogrebane,CC0 1.0,no,Derived/layered and normalized for Deep Rift
sfx_boss_crystalking_intro.ogg,https://opengameart.org/content/80-cc0-creature-sfx | https://opengameart.org/content/monster-sound-effects-2,rubberduck + Ogrebane,CC0 1.0,no,Derived/layered and normalized for Deep Rift
sfx_boss_crystalking_phase.ogg,https://opengameart.org/content/80-cc0-creature-sfx | https://opengameart.org/content/monster-sound-effects-2,rubberduck + Ogrebane,CC0 1.0,no,Derived/layered and normalized for Deep Rift
sfx_boss_frostwyrm_attack_01.ogg,https://opengameart.org/content/80-cc0-creature-sfx | https://opengameart.org/content/monster-sound-effects-2,rubberduck + Ogrebane,CC0 1.0,no,Derived/layered and normalized for Deep Rift
sfx_boss_frostwyrm_attack_02.ogg,https://opengameart.org/content/80-cc0-creature-sfx | https://opengameart.org/content/monster-sound-effects-2,rubberduck + Ogrebane,CC0 1.0,no,Derived/layered and normalized for Deep Rift
sfx_boss_frostwyrm_death.ogg,https://opengameart.org/content/80-cc0-creature-sfx | https://opengameart.org/content/monster-sound-effects-2,rubberduck + Ogrebane,CC0 1.0,no,Derived/layered and normalized for Deep Rift
sfx_boss_frostwyrm_intro.ogg,https://opengameart.org/content/80-cc0-creature-sfx | https://opengameart.org/content/monster-sound-effects-2,rubberduck + Ogrebane,CC0 1.0,no,Derived/layered and normalized for Deep Rift
